image_id,is_train
736791,True
997730,True
763229,True
764244,True
1019370,True
1019763,True
1019822,False
1019867,True
764882,True
764947,True
765216,False
765262,True
765317,True
765326,True
765331,True
765398,True
765403,True
765469,True
765484,True
765608,True
765764,True
765841,True
1019871,True
1019880,True
1019888,True
1019935,True
1019937,True
1019972,True
1019980,True
1020075,True
1020099,True
1020117,True
1020123,True
1020174,True
1020201,True
1020276,True
1020460,True
765882,True
765913,True
766002,True
766011,True
766023,True
766316,True
766357,False
766359,True
766479,True
766749,True
766852,True
766866,True
766960,False
767068,True
767074,True
767087,True
767212,True
767217,True
767224,True
767236,True
767242,True
767249,False
767304,True
767332,True
767442,True
767630,False
1020700,True
1020720,True
1020753,True
1020757,True
1020758,True
1020784,True
1020791,True
1020794,False
1020917,True
1020969,True
1021016,True
1021164,True
1021177,True
1021197,True
1021308,True
1021357,True
1021376,True
1021377,True
767669,True
767718,True
767719,True
767802,True
767925,True
767933,True
767959,True
767988,True
768016,True
768163,False
768230,False
768252,True
768299,True
768300,True
768377,True
768393,True
768553,True
768602,False
768636,True
768639,True
768799,True
768819,True
768956,True
768994,True
1021384,True
1021444,True
1021445,True
1021525,True
1021578,True
1021617,False
1021634,True
1021649,True
1021717,True
1021729,True
1021746,True
1021786,True
1021802,True
1021917,True
1022010,True
1022019,True
1022045,True
769107,True
769111,True
769182,True
769194,True
769197,False
769259,True
769543,True
769551,True
769744,True
769783,True
1022086,True
1022113,True
1022140,True
1022409,True
1022513,True
1022555,True
1022563,False
1022580,True
1022598,True
1022609,True
1022652,True
1022717,True
1022790,True
1022805,True
1022882,False
1022896,True
1022911,True
1022923,True
1022977,False
769960,True
769994,True
770036,True
770103,True
770171,False
770181,True
770223,True
770288,True
770306,True
770554,True
770572,True
770597,True
770603,True
770649,True
770693,True
770738,True
770791,True
770805,True
770837,True
770853,True
770883,True
770889,True
770898,True
770928,True
771009,True
771018,False
771068,True
771077,True
771095,True
771144,True
771224,True
771282,True
771296,True
771298,True
771389,True
771394,True
1022991,True
1023050,True
1023194,True
1023225,True
1023309,True
1023507,True
1023534,True
1023548,True
1023610,True
1023632,True
1023644,True
1024026,True
1024050,True
771467,False
771612,True
771617,True
771718,True
771739,True
771822,True
771834,False
771977,True
771996,True
772049,False
